Produksjonsleder
Prosjektleder
Prosjektleder Bygg
Prosjektleder Bygg og vedlikehold
Prosjektleder Bygg og anlegg
Prosjektingeniør
Prosjektingeniør Geoteknikk
Ingeniør
Byggingeniør
Sivilingeniør
Siv.Ing
Gruppeleder
Gruppeleder Konstruksjon
Kvalitetsleder
Siv.ing Elektronikk
Siv.Ing Elektro
Elektronikk ingeniør
Elektroingeniør
Automasjonsingeniør
Elektro og automasjonsingeniør
Prosjektleder Samferdsel
HVAC engineer
Prosjekteringsingeniør
Maskin ingeniør
Mekanisk ingeniør
Mechanical Engineer
Prosjektleder maskin
Prosjektleder byggautomasjon
VVS Ingeniør
Rådgivende ingeniør
Prosess ingeniør
Rådgivende HMS ingeniør
Elkraft ingeniør
HSE Engineer
VA teknikk ingeniør
VA ingeniør
Rådgivende VVS ingeniør
Kjemi ingeniør
Structural Engineer
Salgsingeniør
Industridesigner
Pumpedesigner
Prosjektleder anlegg jernbane
Geotekniker
Ingeniør olje og gass
Prosjektingeniør olje og gass
Teknisk leder
Prosjektingeniør geoteknikk
Ingeniør elektrokjemi 
Ingeniør materialkjemi
Prosjektleder VVS
RAMS ingeniør
Konstruksjonsingeniør
Piping design engineer
PDMS Engineer
Elektro systems engineer
Structural design engineer
Struktur ingeniør
Rådgivende byggingeniør
Technical safety and environment engineer
Instrumentation engineer
Material tech engineer
Design engineer oil & gas
Rådgivende ingeniør elektro
Vedlikeholdsingeniør olje og gass
Automation engineer
Automation specialist engineer
Fabrication engineer
Sr piping stress analysis engineer
Project engineer offshore
Prosjektingeniør teknisk sikkerhet offshore
Logistikk koordinator olje og gass
Mechanical Commissioning lead
RIE
Software PLC ingeniør
Software PLS ingeniør
Prosjektingeniør byggautomatisering
Teknisk sjef bygg
Design engineer subsea
Electrical Engineer
Prosjekt ingeniør technical safety
Prosjektingeniør teknisk dokumentasjon
Mechanical Design Engineer
Prosjektingeniør  multidisiplin
Kvalitetsingeniør
Pipe support ingeniør
Manufactoring engineer
Serviceingeniør
Prosjektingeniør - elektro
Senior Engineer Electrical
Senior Engineer Instrumentation
Field Engineer
Subsea engineer
Field engineer surface protection and insulation
Veiplanlegger
Senior rådgiver VA
Senior welding engineer
Mechanical engineer - lifting equipment
Surface Fabrication Engineer
Structural fabrication engineer
Strukturingeniør
Vindkraftingeniør
Field engineer piping
Geotechnical engineer
Vessel Manager
Rådgiver VA teknikk
Landmåler
Stikningsingeniør
Structure & welding field engineer
Electro project engineer
Rådgiver bygningsfysikk
Senior Reservoir Engineer
Reservoir Engineer
Rådgivende ingeniør byggeteknikk
Commissioning engineer process
Oppmålingsingeniør
Subsea control system engineer
Prosjektingeniør konstruksjon maskin
Maskiningeniør
Rådgiver vann- og miljøteknikk
Piping & layout lead
Process lead
Field Service engineer
Miljørådgiver
Prosjektleder ventilasjon
"Prosjekterende, RIE"
Struktur Analyse ingeniør
Disipline Engineer Automation
Disipline Engineer electrical power engineering
Sivilingeniør akustikk
Laboratorieingeniør
Service Engineer
Senior safety engineer
Metering engineer
Ingeniør VA infrastruktur
Anleggsleder jernbaneteknikk
Material handling engineer
Røringeniør
Senior Pipe Stress Engineer
Pakkeingeniør
Senior engineer - structural calculation
Inspektør - Teknisk Integritet
Senior Valve Engineer
Prosjektingeniør byggautomasjon
